"filename", "language", "C", "Markdown", "C++", "Makefile", "NASM Assembly", "comment", "blank", "total"
"/home/andrew/osdev/makefile", "Makefile", 0, 0, 0, 9, 0, 1, 1, 11
"/home/andrew/osdev/readme.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/acpi/acpi.c", "C", 104, 0, 0, 0, 0, 13, 21, 138
"/home/andrew/osdev/src/acpi/acpi.h", "C++", 0, 0, 129, 0, 0, 5, 20, 154
"/home/andrew/osdev/src/console/console.c", "C", 0, 0, 0, 0, 0, 4, 0, 4
"/home/andrew/osdev/src/datastructures/btree.c", "C", 1, 0, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/datastructures/btree.h", "C++", 0, 0, 13, 0, 0, 0, 4, 17
"/home/andrew/osdev/src/datastructures/hashtable.c", "C", 72, 0, 0, 0, 0, 5, 16, 93
"/home/andrew/osdev/src/datastructures/hashtable.h", "C++", 0, 0, 20, 0, 0, 0, 5, 25
"/home/andrew/osdev/src/disk/ata.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/disk/ata.h", "C++", 0, 0, 3, 0, 0, 1, 2, 6
"/home/andrew/osdev/src/disk/disk.c", "C", 10, 0, 0, 0, 0, 6, 8, 24
"/home/andrew/osdev/src/disk/disk.h", "C++", 0, 0, 22, 0, 0, 2, 4, 28
"/home/andrew/osdev/src/disk/ide.c", "C", 0, 0, 0, 0, 0, 0, -1, -1
"/home/andrew/osdev/src/disk/ide.h", "C++", 0, 0, -3, 0, 0, -1, -3, -7
"/home/andrew/osdev/src/drivers/ata/ata.c", "C", 18, 0, 0, 0, 0, 0, 5, 23
"/home/andrew/osdev/src/drivers/ata/ata.h", "C++", 0, 0, 9, 0, 0, 1, 4, 14
"/home/andrew/osdev/src/drivers/drivers.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/drivers/filesystems/ramfs.c", "C", 1, 0, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/drivers/filesystems/ramfs.h", "C++", 0, 0, 3, 0, 0, 0, 3, 6
"/home/andrew/osdev/src/drivers/filesystems/vfs/vfs.c", "C", 171, 0, 0, 0, 0, 29, 38, 238
"/home/andrew/osdev/src/drivers/filesystems/vfs/vfs.h", "C++", 0, 0, 36, 0, 0, 1, 6, 43
"/home/andrew/osdev/src/drivers/graphics/vesa.c", "C", 14, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/osdev/src/drivers/graphics/vesa.h", "C++", 0, 0, 67, 0, 0, 1, 7, 75
"/home/andrew/osdev/src/interrupts/interrupts.c", "C", 100, 0, 0, 0, 0, 91, 16, 207
"/home/andrew/osdev/src/kernel/devices.c", "C", 95, 0, 0, 0, 0, 21, 13, 129
"/home/andrew/osdev/src/kernel/devices.h", "C++", 0, 0, 101, 0, 0, 11, 16, 128
"/home/andrew/osdev/src/kernel/kernel.c", "C", 8, 0, 0, 0, 0, 76, 17, 101
"/home/andrew/osdev/src/kernel/kernel.h", "C", 44, 0, 0, 0, 0, 4, 5, 53
"/home/andrew/osdev/src/kernel/kstart.asm", "NASM Assembly", 0, 0, 0, 0, -15, -3, -4, -22
"/home/andrew/osdev/src/kernel/users.c", "C", 14, 0, 0, 0, 0, 0, 1, 15
"/home/andrew/osdev/src/kernel/users.h", "C++", 0, 0, 16, 0, 0, 1, 7, 24
"/home/andrew/osdev/src/kernel/util.h", "C++", 0, 0, -42, 0, 0, -1, -14, -57
"/home/andrew/osdev/src/lib/cmos.h", "C++", 0, 0, 16, 0, 0, 0, 5, 21
"/home/andrew/osdev/src/lib/string.h", "C++", 0, 0, 1, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/lib/util.h", "C++", 0, 0, 31, 0, 0, 0, 10, 41
"/home/andrew/osdev/src/memory/alloc.c", "C", 0, 0, 0, 0, 0, 1, 1, 2
"/home/andrew/osdev/src/memory/paging.c", "C", 27, 0, 0, 0, 0, 4, 10, 41
"/home/andrew/osdev/src/multitasking/multitasking.c", "C", 2, 0, 0, 0, 0, 2, 2, 6
"/home/andrew/osdev/src/multitasking/multitasking.h", "C++", 0, 0, 8, 0, 0, 2, 3, 13
"/home/andrew/osdev/src/ps2/keyboard.c", "C", 4, 0, 0, 0, 0, -1, -1, 2
"/home/andrew/osdev/src/time/time.c", "C", 77, 0, 0, 0, 0, 4, 9, 90
"/home/andrew/osdev/src/time/time.h", "C++", 0, 0, 10, 0, 0, 0, 3, 13
"/home/andrew/osdev/src/userland/shell.c", "C", 129, 0, 0, 0, 0, 3, 2, 134
"/home/andrew/osdev/src/vfs/vfs.c", "C", 0, 0, 0, 0, 0, 0, -1, -1
"/home/andrew/osdev/src/vfs/vfs.h", "C++", 0, 0, 0, 0, 0, 0, -1, -1
"Total", "-", 891, 2, 440, 9, -15, 283, 242, 1852
