"filename", "language", "C", "Markdown", "C++", "Properties", "NASM Assembly", "Makefile", "comment", "blank", "total"
"/home/andrew/osdev/makefile", "Makefile", 0, 0, 0, 0, 0, 68, 19, 18, 105
"/home/andrew/osdev/readme.md", "Markdown", 0, 70, 0, 0, 0, 0, 0, 15, 85
"/home/andrew/osdev/src/acpi/acpi.c", "C", 104, 0, 0, 0, 0, 0, 13, 21, 138
"/home/andrew/osdev/src/acpi/acpi.h", "C++", 0, 0, 129, 0, 0, 0, 5, 20, 154
"/home/andrew/osdev/src/boot/boot.asm", "NASM Assembly", 0, 0, 0, 0, 101, 0, 10, 30, 141
"/home/andrew/osdev/src/boot/grub.cfg", "Properties", 0, 0, 0, 3, 0, 0, 0, 0, 3
"/home/andrew/osdev/src/console/console.c", "C", 217, 0, 0, 0, 0, 0, 22, 36, 275
"/home/andrew/osdev/src/console/console.h", "C++", 0, 0, 23, 0, 0, 0, 6, 14, 43
"/home/andrew/osdev/src/datastructures/btree.c", "C", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/datastructures/btree.h", "C++", 0, 0, 13, 0, 0, 0, 0, 4, 17
"/home/andrew/osdev/src/datastructures/hashtable.c", "C", 72, 0, 0, 0, 0, 0, 5, 16, 93
"/home/andrew/osdev/src/datastructures/hashtable.h", "C++", 0, 0, 20, 0, 0, 0, 0, 5, 25
"/home/andrew/osdev/src/disk/ahci.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/disk/ahci.h", "C++", 0, 0, 3, 0, 0, 0, 1, 2, 6
"/home/andrew/osdev/src/disk/ata.c", "C", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/andrew/osdev/src/disk/ata.h", "C++", 0, 0, 3, 0, 0, 0, 1, 2, 6
"/home/andrew/osdev/src/disk/disk.c", "C", 11, 0, 0, 0, 0, 0, 6, 8, 25
"/home/andrew/osdev/src/disk/disk.h", "C++", 0, 0, 90, 0, 0, 0, 10, 16, 116
"/home/andrew/osdev/src/drivers/ata/ata.c", "C", 18, 0, 0, 0, 0, 0, 0, 5, 23
"/home/andrew/osdev/src/drivers/ata/ata.h", "C++", 0, 0, 9, 0, 0, 0, 1, 4, 14
"/home/andrew/osdev/src/drivers/drivers.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/drivers/filesystems/ramfs.c", "C", 1, 0, 0, 0, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/drivers/filesystems/ramfs.h", "C++", 0, 0, 3, 0, 0, 0, 0, 3, 6
"/home/andrew/osdev/src/drivers/filesystems/vfs/vfs.c", "C", 171, 0, 0, 0, 0, 0, 29, 38, 238
"/home/andrew/osdev/src/drivers/filesystems/vfs/vfs.h", "C++", 0, 0, 36, 0, 0, 0, 1, 6, 43
"/home/andrew/osdev/src/drivers/graphics/vesa.c", "C", 14, 0, 0, 0, 0, 0, 0, 2, 16
"/home/andrew/osdev/src/drivers/graphics/vesa.h", "C++", 0, 0, 67, 0, 0, 0, 1, 7, 75
"/home/andrew/osdev/src/interrupts/interrupts.c", "C", 314, 0, 0, 0, 0, 0, 95, 36, 445
"/home/andrew/osdev/src/interrupts/interrupts.h", "C", 77, 0, 0, 0, 0, 0, 4, 15, 96
"/home/andrew/osdev/src/interrupts/pic.c", "C", 50, 0, 0, 0, 0, 0, 7, 11, 68
"/home/andrew/osdev/src/kernel/devices.c", "C", 95, 0, 0, 0, 0, 0, 21, 13, 129
"/home/andrew/osdev/src/kernel/devices.h", "C++", 0, 0, 101, 0, 0, 0, 11, 16, 128
"/home/andrew/osdev/src/kernel/kernel.c", "C", 74, 0, 0, 0, 0, 0, 81, 40, 195
"/home/andrew/osdev/src/kernel/kernel.h", "C", 63, 0, 0, 0, 0, 0, 5, 12, 80
"/home/andrew/osdev/src/kernel/kernel_start.asm", "NASM Assembly", 0, 0, 0, 0, 167, 0, 1, 30, 198
"/home/andrew/osdev/src/kernel/multiboot.h", "C++", 0, 0, 62, 0, 0, 0, 13, 18, 93
