"filename", "language", "Markdown", "Makefile", "C", "C++", "NASM Assembly", "comment", "blank", "total"
"/home/andrew/osdev/makefile", "Makefile", 0, 14, 0, 0, 0, 1, 3, 18
"/home/andrew/osdev/readme.md", "Markdown", 0, 0, 0, 0, 0, 0, -2, -2
"/home/andrew/osdev/src/acpi/acpi.c", "C", 0, 0, 6, 0, 0, 0, -1, 5
"/home/andrew/osdev/src/boot/boot.asm", "NASM Assembly", 0, 0, 0, 0, 37, 22, 8, 67
"/home/andrew/osdev/src/boot/bootfs.h", "C", 0, 0, 53, 0, 0, 0, 5, 58
"/home/andrew/osdev/src/boot/bootutil.h", "C", 0, 0, 180, 0, 0, 3, 45, 228
"/home/andrew/osdev/src/boot/stage1.asm", "NASM Assembly", 0, 0, 0, 0, 233, 13, 71, 317
"/home/andrew/osdev/src/boot/stage2.c", "C", 0, 0, 105, 0, 0, 15, 28, 148
"/home/andrew/osdev/src/console/console.h", "C", 0, 0, 1, 0, 0, 0, 1, 2
"/home/andrew/osdev/src/console/tty.c", "C", 0, 0, 113, 0, 0, 6, 18, 137
"/home/andrew/osdev/src/console/tty.h", "C++", 0, 0, 0, 19, 0, 1, 3, 23
"/home/andrew/osdev/src/datastructures/btree.c", "C", 0, 0, -1, 0, 0, 0, 0, -1
"/home/andrew/osdev/src/datastructures/btree.h", "C++", 0, 0, 0, -13, 0, 0, -4, -17
"/home/andrew/osdev/src/datastructures/hash.c", "C", 0, 0, 74, 0, 0, 2, 5, 81
"/home/andrew/osdev/src/datastructures/hash.h", "C", 0, 0, 17, 0, 0, 1, 6, 24
"/home/andrew/osdev/src/datastructures/hashtable.c", "C", 0, 0, -72, 0, 0, -5, -16, -93
"/home/andrew/osdev/src/datastructures/hashtable.h", "C++", 0, 0, 0, -20, 0, 0, -5, -25
"/home/andrew/osdev/src/disk/ahci.c", "C", 0, 0, 0, 0, 0, 0, -1, -1
"/home/andrew/osdev/src/disk/ahci.h", "C++", 0, 0, 0, -3, 0, -1, -2, -6
"/home/andrew/osdev/src/disk/ata.c", "C", 0, 0, 511, 0, 0, 76, 88, 675
"/home/andrew/osdev/src/disk/ata.h", "C++", 0, 0, 0, 8, 0, -1, 3, 10
"/home/andrew/osdev/src/disk/disk.c", "C", 0, 0, -11, 0, 0, -6, -8, -25
"/home/andrew/osdev/src/disk/disk.h", "C++", 0, 0, 0, -90, 0, -10, -16, -116
"/home/andrew/osdev/src/disk/mbr.c", "C", 0, 0, 79, 0, 0, 4, 7, 90
"/home/andrew/osdev/src/disk/mbr.h", "C++", 0, 0, 0, 48, 0, 3, 9, 60
"/home/andrew/osdev/src/drivers/ata/ata.c", "C", 0, 0, -18, 0, 0, 0, -5, -23
"/home/andrew/osdev/src/drivers/ata/ata.h", "C++", 0, 0, 0, -9, 0, -1, -4, -14
"/home/andrew/osdev/src/drivers/drivers.md", "Markdown", -1, 0, 0, 0, 0, 0, 0, -1
"/home/andrew/osdev/src/drivers/filesystems/ramfs.c", "C", 0, 0, -1, 0, 0, 0, 0, -1
"/home/andrew/osdev/src/drivers/filesystems/ramfs.h", "C++", 0, 0, 0, -3, 0, 0, -3, -6
"/home/andrew/osdev/src/drivers/filesystems/vfs/vfs.c", "C", 0, 0, -171, 0, 0, -29, -38, -238
"/home/andrew/osdev/src/drivers/filesystems/vfs/vfs.h", "C++", 0, 0, 0, -36, 0, -1, -6, -43
"/home/andrew/osdev/src/drivers/graphics/vesa.c", "C", 0, 0, -14, 0, 0, 0, -2, -16
"/home/andrew/osdev/src/drivers/graphics/vesa.h", "C++", 0, 0, 0, -67, 0, -1, -7, -75
"/home/andrew/osdev/src/filesystems/fat.c", "C", 0, 0, 52, 0, 0, 17, 9, 78
"/home/andrew/osdev/src/filesystems/fat.h", "C++", 0, 0, 0, 5, 0, 0, 3, 8
"/home/andrew/osdev/src/interrupts/interrupts.c", "C", 0, 0, 321, 0, 0, 117, 39, 477
"/home/andrew/osdev/src/interrupts/interrupts.h", "C", 0, 0, 1, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/interrupts/pic.c", "C", 0, 0, 17, 0, 0, -7, 4, 14
"/home/andrew/osdev/src/kernel/devices.c", "C", 0, 0, 130, 0, 0, -13, 7, 124
"/home/andrew/osdev/src/kernel/devices.h", "C", 0, 0, 98, 0, 0, 41, 48, 187
"/home/andrew/osdev/src/kernel/drivers.c", "C", 0, 0, 97, 0, 0, 0, 17, 114
"/home/andrew/osdev/src/kernel/drivers.h", "C++", 0, 0, 0, 20, 0, 22, 17, 59
"/home/andrew/osdev/src/kernel/kernel.c", "C", 0, 0, 90, 0, 0, 29, 25, 144
"/home/andrew/osdev/src/kernel/kernel.h", "C", 0, 0, -4, 0, 0, 2, -2, -4
"/home/andrew/osdev/src/kernel/kernel_start.asm", "NASM Assembly", 0, 0, 0, 0, 2, 0, 0, 2
"/home/andrew/osdev/src/kernel/system.c", "C", 0, 0, 155, 0, 0, 0, 27, 182
"/home/andrew/osdev/src/kernel/system.h", "C", 0, 0, 103, 0, 0, 32, 42, 177
"/home/andrew/osdev/src/lib/char.h", "C++", 0, 0, 0, 10, 0, 0, 3, 13
"/home/andrew/osdev/src/lib/common.h", "C", 0, 0, 10, 0, 0, 0, 2, 12
"/home/andrew/osdev/src/lib/elf.h", "C++", 0, 0, 0, 51, 0, 3, 8, 62
"/home/andrew/osdev/src/lib/kio.c", "C", 0, 0, 4, 0, 0, 0, 2, 6
"/home/andrew/osdev/src/lib/kio.h", "C++", 0, 0, 0, 26, 0, 3, 11, 40
"/home/andrew/osdev/src/lib/stdint.h", "C", 0, 0, -1, 0, 0, 0, -1, -2
"/home/andrew/osdev/src/lib/string.h", "C", 0, 0, 1, 0, 0, 0, 1, 2
"/home/andrew/osdev/src/lib/util.h", "C", 0, 0, 7, 0, 0, 0, 6, 13
"/home/andrew/osdev/src/memory/alloc.c", "C", 0, 0, 20, 0, 0, 5, 8, 33
"/home/andrew/osdev/src/memory/alloc.h", "C", 0, 0, 1, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/memory/paging.c", "C", 0, 0, 28, 0, 0, 2, 6, 36
"/home/andrew/osdev/src/memory/paging.h", "C++", 0, 0, 0, 1, 0, 0, 0, 1
"/home/andrew/osdev/src/multitasking/multitasking.c", "C", 0, 0, 39, 0, 0, 5, 9, 53
"/home/andrew/osdev/src/multitasking/multitasking.h", "C", 0, 0, 10, 0, 0, 2, 0, 12
"/home/andrew/osdev/src/ps2/keyboard.c", "C", 0, 0, 16, 0, 0, 1, 6, 23
"/home/andrew/osdev/src/ps2/keyboard.h", "C", 0, 0, -7, 0, 0, 0, -2, -9
"/home/andrew/osdev/src/time/time.c", "C", 0, 0, 0, 0, 0, -1, 0, -1
"/home/andrew/osdev/src/time/time.h", "C++", 0, 0, 0, -7, 0, 0, -1, -8
"/home/andrew/osdev/src/userland/shell.c", "C", 0, 0, 48, 0, 0, 0, 22, 70
"/home/andrew/osdev/src/vfs/vfs.c", "C", 0, 0, 252, 0, 0, 39, 46, 337
"/home/andrew/osdev/src/vfs/vfs.h", "C", 0, 0, 53, 0, 0, 2, 11, 66
"Total", "-", -1, 14, 2392, -60, 272, 393, 553, 3563
