"filename", "language", "Markdown", "C", "C++", "comment", "blank", "total"
"/home/andrew/osdev/readme.md", "Markdown", 1, 0, 0, 0, 0, 1
"/home/andrew/osdev/src/console/console.h", "C", 0, 2, 0, 0, 2, 4
"/home/andrew/osdev/src/console/tty.c", "C", 0, 140, 0, 19, 19, 178
"/home/andrew/osdev/src/console/tty.h", "C++", 0, 0, 3, 0, 1, 4
"/home/andrew/osdev/src/interrupts/interrupts.c", "C", 0, 61, 0, 15, 9, 85
"/home/andrew/osdev/src/kernel/devices.h", "C", 0, -2, 0, -2, 0, -4
"/home/andrew/osdev/src/kernel/kernel.c", "C", 0, 37, 0, 3, 3, 43
"/home/andrew/osdev/src/kernel/kernel.h", "C", 0, 3, 0, 0, 0, 3
"/home/andrew/osdev/src/kernel/system.c", "C", 0, 6, 0, 0, 1, 7
"/home/andrew/osdev/src/kernel/system.h", "C", 0, 9, 0, 1, 2, 12
"/home/andrew/osdev/src/memory/alloc.c", "C", 0, 18, 0, 3, 3, 24
"/home/andrew/osdev/src/memory/alloc.h", "C", 0, 1, 0, 1, 1, 3
"/home/andrew/osdev/src/multitasking/multitasking.c", "C", 0, 10, 0, 7, 6, 23
"/home/andrew/osdev/src/multitasking/multitasking.h", "C", 0, 5, 0, -1, 1, 5
"/home/andrew/osdev/src/ps2/keyboard.c", "C", 0, 0, 0, 1, 1, 2
"/home/andrew/osdev/src/ps2/keyboard.h", "C", 0, 2, 0, 0, 1, 3
"/home/andrew/osdev/src/userland/shell.c", "C", 0, 3, 0, 2, 1, 6
"/home/andrew/osdev/src/vfs/vfs.c", "C", 0, 82, 0, 6, 12, 100
"/home/andrew/osdev/src/vfs/vfs.h", "C", 0, 20, 0, 5, 4, 29
"Total", "-", 1, 397, 3, 60, 67, 528
