"filename", "language", "Makefile", "C", "NASM Assembly", "C++", "comment", "blank", "total"
"/home/andrew/osdev/makefile", "Makefile", 3, 0, 0, 0, -2, 1, 2
"/home/andrew/osdev/src/console/tty.c", "C", 0, 17, 0, 0, -8, -2, 7
"/home/andrew/osdev/src/disk/ata.c", "C", 0, 12, 0, 0, 12, 1, 25
"/home/andrew/osdev/src/filesystems/fat.c", "C", 0, 596, 0, 0, 92, 89, 777
"/home/andrew/osdev/src/interrupts/interrupts.c", "C", 0, 88, 0, 0, 24, 15, 127
"/home/andrew/osdev/src/kernel/devices.h", "C", 0, 1, 0, 0, 2, 0, 3
"/home/andrew/osdev/src/kernel/drivers.h", "C", 0, 0, 0, 0, 1, 1, 2
"/home/andrew/osdev/src/kernel/kernel.c", "C", 0, 7, 0, 0, -9, 0, -2
"/home/andrew/osdev/src/kernel/kernel.h", "C", 0, 1, 0, 0, -4, -1, -4
"/home/andrew/osdev/src/kernel/system.c", "C", 0, 24, 0, 0, 0, 4, 28
"/home/andrew/osdev/src/kernel/system.h", "C", 0, 21, 0, 0, 4, 7, 32
"/home/andrew/osdev/src/lib/string.h", "C", 0, 6, 0, 0, 0, 2, 8
"/home/andrew/osdev/src/libc/stdio.c", "C", 0, 159, 0, 0, 8, 16, 183
"/home/andrew/osdev/src/libc/stdio.h", "C", 0, 4, 0, 0, 0, 2, 6
"/home/andrew/osdev/src/memory/alloc.c", "C", 0, 18, 0, 0, 2, 6, 26
"/home/andrew/osdev/src/memory/paging.c", "C", 0, 1, 0, 0, 8, 4, 13
"/home/andrew/osdev/src/time/time.h", "C++", 0, 0, 0, 1, 0, -1, 0
"/home/andrew/osdev/src/userland/program.asm", "NASM Assembly", 0, 0, 18, 0, 2, 4, 24
"/home/andrew/osdev/src/userland/shell.c", "C", 0, -35, 0, 0, 7, 1, -27
"/home/andrew/osdev/src/vfs/vfs.c", "C", 0, 37, 0, 0, 2, 7, 46
"/home/andrew/osdev/src/vfs/vfs.h", "C", 0, 5, 0, 0, 0, 2, 7
"Total", "-", 3, 962, 18, 1, 141, 158, 1283
